matrix,schedule,num_threads,chunk_size,seq_time,par_time,speedup,efficiency,seq_bandwidth,par_bandwidth,bandwidth_speedup,seq_gflops,par_gflops,gflops_speedup
Andrews.mtx,dynamic,1,10000,0.702429,0.732565,0.958862,0.958862,8.158698,7.819819,0.958464,1.173812,1.125057,0.958464
Andrews.mtx,dynamic,2,10000,0.702429,0.447321,1.570302,0.785151,8.158698,14.309143,1.753851,1.173812,2.058693,1.753852
Andrews.mtx,dynamic,4,1000,0.702429,0.281572,2.494669,0.623667,8.158698,27.673466,3.391897,1.173812,3.981453,3.3919
Andrews.mtx,dynamic,8,1000,0.702429,0.199604,3.519113,0.439889,8.158698,46.212754,5.664231,1.173812,6.648748,5.664236
Andrews.mtx,dynamic,16,1000,0.702429,0.198341,3.541522,0.221345,8.158698,75.284067,9.227461,1.173812,10.831312,9.227467
Andrews.mtx,dynamic,32,1000,0.702429,0.196075,3.582451,0.111952,8.158698,92.287299,11.311523,1.173812,13.277612,11.311532
Andrews.mtx,dynamic,64,1000,0.702429,0.195145,3.599523,0.056243,8.158698,67.714052,8.299615,1.173812,9.742195,8.299621
Andrews.mtx,guided,1,10000,0.702429,0.736117,0.954236,0.954236,8.158698,7.790523,0.954873,1.173812,1.120842,0.954874
Andrews.mtx,guided,2,10,0.702429,0.438976,1.600154,0.800077,8.158698,14.853626,1.820588,1.173812,2.13703,1.82059
Andrews.mtx,guided,4,10,0.702429,0.24128,2.911261,0.727815,8.158698,27.858246,3.414546,1.173812,4.008037,3.414548
Andrews.mtx,guided,8,1,0.702429,0.174642,4.022108,0.502764,8.158698,46.336967,5.679456,1.173812,6.666619,5.679461
Andrews.mtx,guided,16,100,0.702429,0.152612,4.602711,0.287669,8.158698,79.387205,9.730377,1.173812,11.421641,9.730384
Andrews.mtx,guided,32,100,0.702429,0.158071,4.443756,0.138867,8.158698,88.01987,10.78847,1.173812,12.663645,10.788478
Andrews.mtx,guided,64,1000,0.702429,0.220323,3.188178,0.049815,8.158698,65.931378,8.081115,1.173812,9.485717,8.081121
Andrews.mtx,static,1,1,0.702429,0.748014,0.939059,0.939059,8.158698,7.717349,0.945904,1.173812,1.110314,0.945904
Andrews.mtx,static,2,10000,0.702429,0.424003,1.65666,0.82833,8.158698,13.90109,1.703837,1.173812,1.999986,1.703838
Andrews.mtx,static,4,1000,0.702429,0.220418,3.186804,0.796701,8.158698,27.673466,3.391897,1.173812,3.981453,3.3919
Andrews.mtx,static,8,1000,0.702429,0.132013,5.320908,0.665113,8.158698,48.392228,5.931366,1.173812,6.962314,5.931371
Andrews.mtx,static,16,100,0.702429,0.087785,8.001697,0.500106,8.158698,82.819914,10.151119,1.173812,11.915514,10.151126
Andrews.mtx,static,32,1000,0.702429,0.060606,11.59009,0.36219,8.158698,139.010901,17.038368,1.173812,19.999856,17.038381
Andrews.mtx,static,64,1000,0.702429,0.088787,7.911395,0.123616,8.158698,121.621468,14.90697,1.173812,17.497993,14.906981
Hook_1498.mtx,dynamic,1,10,35.519886,42.324329,0.839231,0.839231,10.744394,9.489574,0.883212,1.780351,1.572427,0.883212
Hook_1498.mtx,dynamic,2,1000,35.519886,33.613515,1.056714,0.528357,10.744394,12.421848,1.156124,1.780351,2.058306,1.156124
Hook_1498.mtx,dynamic,4,1000,35.519886,24.754214,1.434903,0.358726,10.744394,17.271878,1.607525,1.780351,2.861958,1.607525
Hook_1498.mtx,dynamic,8,1000,35.519886,17.917514,1.982412,0.247801,10.744394,27.653848,2.573793,1.780351,4.582256,2.573794
Hook_1498.mtx,dynamic,16,10000,35.519886,15.032577,2.362861,0.147679,10.744394,27.670635,2.575356,1.780351,4.585037,2.575356
Hook_1498.mtx,dynamic,32,10,35.519886,19.525957,1.819111,0.056847,10.744394,21.388414,1.990658,1.780351,3.54407,1.990658
Hook_1498.mtx,dynamic,64,10,35.519886,16.804862,2.113667,0.033026,10.744394,24.931849,2.320452,1.780351,4.131219,2.320452
Hook_1498.mtx,guided,1,10,35.519886,35.42633,1.002641,1.002641,10.744394,10.785295,1.003807,1.780351,1.787128,1.003807
Hook_1498.mtx,guided,2,10,35.519886,20.491743,1.733376,0.866688,10.744394,18.897663,1.758839,1.780351,3.131352,1.75884
Hook_1498.mtx,guided,4,1000,35.519886,21.120572,1.681767,0.420442,10.744394,23.013506,2.141908,1.780351,3.813349,2.141909
Hook_1498.mtx,guided,8,10,35.519886,16.5138,2.150921,0.268865,10.744394,28.387764,2.6421,1.780351,4.703866,2.6421
Hook_1498.mtx,guided,16,100,35.519886,14.551616,2.440958,0.15256,10.744394,29.396527,2.735987,1.780351,4.871019,2.735988
Hook_1498.mtx,guided,32,100,35.519886,34.105921,1.041458,0.032546,10.744394,17.023678,1.584424,1.780351,2.820831,1.584424
Hook_1498.mtx,guided,64,1000,35.519886,117.313123,0.302778,0.004731,10.744394,4.871968,0.453443,1.780351,0.807287,0.453443
Hook_1498.mtx,static,1,1000,35.519886,34.178566,1.039244,1.039244,10.744394,11.174073,1.039991,1.780351,1.85155,1.039992
Hook_1498.mtx,static,2,1000,35.519886,19.23213,1.846903,0.923452,10.744394,19.674198,1.831113,1.780351,3.260024,1.831113
Hook_1498.mtx,static,4,1000,35.519886,18.911958,1.878171,0.469543,10.744394,21.477765,1.998974,1.780351,3.558876,1.998974
Hook_1498.mtx,static,8,1000,35.519886,11.86347,2.994055,0.374257,10.744394,32.84471,3.056916,1.780351,5.442384,3.056916
Hook_1498.mtx,static,16,1000,35.519886,11.476826,3.094922,0.193433,10.744394,34.012301,3.165586,1.780351,5.635854,3.165586
Hook_1498.mtx,static,32,1000,35.519886,15.750932,2.255097,0.070472,10.744394,30.278942,2.818115,1.780351,5.017235,2.818116
Hook_1498.mtx,static,64,1,35.519886,24.81451,1.431416,0.022366,10.744394,15.6944,1.460706,1.780351,2.60057,1.460706
bcsstk27.mtx,dynamic,1,10000,0.02408,0.02718,0.885946,0.885946,14.843106,13.209002,0.889908,2.479828,2.20682,0.889908
bcsstk27.mtx,dynamic,2,100,0.02408,0.028968,0.831262,0.415631,14.843106,18.94449,1.276316,2.479828,3.165044,1.276316
bcsstk27.mtx,dynamic,4,100,0.02408,0.020122,1.1967,0.299175,14.843106,24.580549,1.656025,2.479828,4.106657,1.656025
bcsstk27.mtx,dynamic,8,100,0.02408,0.024175,0.99607,0.124509,14.843106,26.819455,1.806863,2.479828,4.480709,1.806863
bcsstk27.mtx,dynamic,16,100,0.02408,0.022054,1.091865,0.068242,14.843106,21.958129,1.479349,2.479828,3.668531,1.479349
bcsstk27.mtx,dynamic,32,100,0.02408,0.023318,1.032679,0.032271,14.843106,17.248736,1.162071,2.479828,2.881735,1.162071
bcsstk27.mtx,dynamic,64,100,0.02408,0.036311,0.66316,0.010362,14.843106,11.338936,0.763919,2.479828,1.894389,0.76392
bcsstk27.mtx,guided,1,10000,0.02408,0.025034,0.961892,0.961892,14.843106,13.766508,0.927468,2.479828,2.299962,0.927468
bcsstk27.mtx,guided,2,10,0.02408,0.033403,0.720893,0.360447,14.843106,19.277071,1.298722,2.479828,3.220608,1.298722
bcsstk27.mtx,guided,4,100,0.02408,0.021386,1.12597,0.281493,14.843106,24.580549,1.656025,2.479828,4.106657,1.656025
bcsstk27.mtx,guided,8,100,0.02408,0.018215,1.321987,0.165248,14.843106,25.007695,1.684802,2.479828,4.17802,1.684802
bcsstk27.mtx,guided,16,100,0.02408,0.022459,1.072176,0.067011,14.843106,20.278609,1.366197,2.479828,3.387934,1.366197
bcsstk27.mtx,guided,32,100,0.02408,0.030232,0.796507,0.024891,14.843106,13.885171,0.935463,2.479828,2.319787,0.935463
bcsstk27.mtx,guided,64,100,0.02408,0.051117,0.471076,0.007361,14.843106,8.591029,0.578789,2.479828,1.435298,0.578789
bcsstk27.mtx,static,1,1000,0.02408,0.025034,0.961892,0.961892,14.843106,13.84405,0.932692,2.479828,2.312917,0.932693
bcsstk27.mtx,static,2,100,0.02408,0.021672,1.111111,0.555556,14.843106,19.197083,1.293333,2.479828,3.207244,1.293333
bcsstk27.mtx,static,4,100,0.02408,0.01359,1.771891,0.442973,14.843106,28.287467,1.905765,2.479828,4.725969,1.905765
bcsstk27.mtx,static,8,100,0.02408,0.01502,1.603196,0.200399,14.843106,28.795625,1.94,2.479828,4.810867,1.94
bcsstk27.mtx,static,16,100,0.02408,0.019145,1.25777,0.078611,14.843106,24.959218,1.681536,2.479828,4.169921,1.681536
bcsstk27.mtx,static,32,100,0.02408,0.027036,0.890664,0.027833,14.843106,16.361151,1.102273,2.479828,2.733447,1.102273
bcsstk27.mtx,static,64,100,0.02408,0.041914,0.57451,0.008977,14.843106,10.128065,0.682341,2.479828,1.692089,0.682341
msdoor.mtx,dynamic,1,10000,11.418819,11.295605,1.010908,1.010908,11.080643,11.290865,1.018972,1.858257,1.893511,1.018972
msdoor.mtx,dynamic,2,10000,11.418819,5.908823,1.932503,0.966252,11.080643,21.188249,1.912186,1.858257,3.553333,1.912186
msdoor.mtx,dynamic,4,10000,11.418819,6.070495,1.881036,0.470259,11.080643,22.859248,2.062989,1.858257,3.833564,2.062989
msdoor.mtx,dynamic,8,10000,11.418819,4.373813,2.610724,0.326341,11.080643,33.081668,2.985537,1.858257,5.547894,2.985536
msdoor.mtx,dynamic,16,1000,11.418819,4.770159,2.393803,0.149613,11.080643,34.18385,3.085006,1.858257,5.732733,3.085005
msdoor.mtx,dynamic,32,10,11.418819,5.750799,1.985606,0.06205,11.080643,23.059902,2.081098,1.858257,3.867214,2.081098
msdoor.mtx,dynamic,64,10,11.418819,6.864547,1.663448,0.025991,11.080643,26.846682,2.422845,1.858257,4.502268,2.422845
msdoor.mtx,guided,1,10,11.418819,11.118388,1.027021,1.027021,11.080643,11.39006,1.027924,1.858257,1.910147,1.027924
msdoor.mtx,guided,2,10000,11.418819,6.970668,1.638124,0.819062,11.080643,20.545432,1.854173,1.858257,3.44553,1.854173
msdoor.mtx,guided,4,1,11.418819,5.769253,1.979254,0.494814,11.080643,24.681031,2.227401,1.858257,4.139083,2.227401
msdoor.mtx,guided,8,100,11.418819,4.451346,2.565251,0.320656,11.080643,35.49509,3.203342,1.858257,5.952632,3.203342
msdoor.mtx,guided,16,10000,11.418819,4.243708,2.690765,0.168173,11.080643,34.849654,3.145093,1.858257,5.84439,3.145092
msdoor.mtx,guided,32,10000,11.418819,7.728958,1.477407,0.046169,11.080643,30.145973,2.720598,1.858257,5.055569,2.720597
msdoor.mtx,guided,64,10000,11.418819,36.142874,0.315936,0.004936,11.080643,13.612822,1.228523,1.858257,2.282911,1.228523
msdoor.mtx,static,1,10,11.418819,12.524438,0.911723,0.911723,11.080643,10.14564,0.915618,1.858257,1.701454,0.915618
msdoor.mtx,static,2,100,11.418819,6.411362,1.781029,0.890514,11.080643,19.622207,1.770855,1.858257,3.290702,1.770854
msdoor.mtx,static,4,1000,11.418819,5.350756,2.134057,0.533514,11.080643,24.539311,2.214611,1.858257,4.115315,2.21461
msdoor.mtx,static,8,1000,11.418819,3.038216,3.758396,0.4698,11.080643,52.410369,4.729903,1.858257,8.789374,4.729902
msdoor.mtx,static,16,10000,11.418819,2.48065,4.603156,0.287697,11.080643,71.984304,6.496401,1.858257,12.071982,6.496401
msdoor.mtx,static,32,10000,11.418819,2.28157,5.004808,0.1564,11.080643,141.145267,12.738003,1.858257,23.670481,12.738002
msdoor.mtx,static,64,10000,11.418819,3.937197,2.900241,0.045316,11.080643,186.600096,16.840187,1.858257,31.29339,16.840184
tmt_sym.mtx,dynamic,1,1000,5.550575,5.591035,0.992763,0.992763,8.36587,8.246978,0.985788,1.056476,1.041461,0.985788
tmt_sym.mtx,dynamic,2,100,5.550575,8.296752,0.669006,0.334503,8.36587,9.776208,1.168582,1.056476,1.234578,1.168581
tmt_sym.mtx,dynamic,4,10000,5.550575,2.112794,2.627126,0.656781,8.36587,27.868083,3.331164,1.056476,3.519293,3.331162
tmt_sym.mtx,dynamic,8,10000,5.550575,1.812935,3.061651,0.382706,8.36587,51.79827,6.191618,1.056476,6.541292,6.191614
tmt_sym.mtx,dynamic,16,10000,5.550575,1.620364,3.425511,0.214094,8.36587,92.235922,11.025264,1.056476,11.64792,11.025258
tmt_sym.mtx,dynamic,32,100,5.550575,1.848889,3.002114,0.093816,8.36587,56.641027,6.770489,1.056476,7.152855,6.770485
tmt_sym.mtx,dynamic,64,10,5.550575,4.627896,1.199373,0.01874,8.36587,10.00456,1.195878,1.056476,1.263416,1.195878
tmt_sym.mtx,guided,1,10000,5.550575,5.602861,0.990668,0.990668,8.36587,8.256195,0.98689,1.056476,1.042626,0.98689
tmt_sym.mtx,guided,2,10000,5.550575,3.29802,1.683002,0.841501,8.36587,15.239521,1.82163,1.056476,1.924508,1.82163
tmt_sym.mtx,guided,4,10,5.550575,1.782012,3.11478,0.778695,8.36587,29.550683,3.53229,1.056476,3.731779,3.532289
tmt_sym.mtx,guided,8,100,5.550575,1.483583,3.741331,0.467666,8.36587,52.348297,6.257364,1.056476,6.610752,6.257361
tmt_sym.mtx,guided,16,1000,5.550575,1.478576,3.754,0.234625,8.36587,63.064922,7.538358,1.056476,7.96409,7.538354
tmt_sym.mtx,guided,32,10000,5.550575,2.297854,2.415547,0.075486,8.36587,87.816937,10.497048,1.056476,11.089873,10.497042
tmt_sym.mtx,guided,64,1,5.550575,12.719822,0.436372,0.006818,8.36587,68.372049,8.172736,1.056476,8.634295,8.172732
tmt_sym.mtx,static,1,10000,5.550575,5.548811,1.000318,1.000318,8.36587,8.324134,0.995011,1.056476,1.051205,0.995011
tmt_sym.mtx,static,2,10000,5.550575,3.395295,1.634784,0.817392,8.36587,15.95023,1.906584,1.056476,2.014259,1.906583
tmt_sym.mtx,static,4,10000,5.550575,1.754761,3.163152,0.790788,8.36587,32.325355,3.863956,1.056476,4.082175,3.863954
tmt_sym.mtx,static,8,10000,5.550575,0.861335,6.444154,0.805519,8.36587,60.9145,7.281311,1.056476,7.692527,7.281308
tmt_sym.mtx,static,16,10000,5.550575,0.509167,10.901286,0.68133,8.36587,112.172553,13.408355,1.056476,14.165598,13.408348
tmt_sym.mtx,static,32,10000,5.550575,0.305366,18.176794,0.568025,8.36587,179.153323,21.414787,1.056476,22.624197,21.414776
tmt_sym.mtx,static,64,10000,5.550575,0.476122,11.657884,0.182154,8.36587,245.879588,29.390797,1.056476,31.050656,29.390782
